Region,Year,Population-Weighted PM2.5 [ug/m3],Geographic-Mean PM2.5 [ug/m3],Population Coverage [%],Geographic Coverage [%],Total Population [million people],% pop >= 5 ug/m3 [%],% pop >= 10 ug/m3 [%],% pop >= 15 ug/m3 [%],% pop >= 25 ug/m3 [%],% pop >= 30 ug/m3 [%],% pop >= 35 ug/m3 [%],% pop >= 40 ug/m3 [%],% pop >= 45 ug/m3 [%],% pop >= 50 ug/m3 [%],% pop >= 55 ug/m3 [%],% pop >= 60 ug/m3 [%]
Andaman and Nicobar,1998,16.5,15.8,99.5,98.7,0.331,100.0,95.7,77.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,1999,16.1,15.8,99.5,98.7,0.331,100.0,100.0,76.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2000,18.2,17.7,99.5,98.7,0.331,100.0,100.0,87.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2001,18.9,18.0,99.5,98.7,0.333,100.0,100.0,88.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2002,19.7,18.7,99.5,98.7,0.336,100.0,100.0,88.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2003,19.5,18.7,99.5,98.7,0.338,100.0,100.0,88.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2004,22.4,21.3,99.5,98.7,0.340,100.0,100.0,96.9,11.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2005,20.4,19.4,99.5,98.7,0.343,100.0,100.0,89.3,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2006,22.5,21.4,99.5,98.7,0.344,100.0,100.0,93.3,16.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2007,22.2,21.2,99.5,98.7,0.346,100.0,100.0,96.6,11.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2008,22.3,21.2,99.5,98.7,0.348,100.0,100.0,96.0,9.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2009,24.3,22.7,99.5,98.7,0.349,100.0,100.0,94.5,51.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2010,22.7,21.6,99.5,98.7,0.351,100.0,100.0,97.5,18.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2011,22.1,20.6,99.5,98.7,0.352,100.0,100.0,90.5,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2012,23.9,22.3,99.5,98.7,0.353,100.0,100.0,97.2,40.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2013,23.3,21.9,99.5,98.7,0.354,100.0,100.0,98.0,26.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2014,26.0,24.2,99.5,98.7,0.355,100.0,100.0,97.4,74.7,10.3,0.1,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2015,20.7,19.5,99.6,98.7,0.356,100.0,100.0,92.3,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2016,23.9,22.2,99.6,98.7,0.357,100.0,100.0,99.0,37.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2017,21.2,19.4,99.6,98.7,0.358,100.0,100.0,92.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2018,23.6,21.7,99.6,98.7,0.359,100.0,100.0,93.8,36.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2019,23.3,21.7,99.6,98.7,0.359,100.0,100.0,97.3,30.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2020,22.5,20.8,99.6,98.7,0.360,100.0,100.0,97.6,13.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2021,20.5,18.7,99.6,98.7,0.360,100.0,99.3,92.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2022,18.6,17.2,99.6,98.7,0.360,100.0,99.9,91.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,1998,16.6,16.0,99.9,99.9,46.644,100.0,99.3,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,1999,19.0,18.2,99.9,99.9,46.644,100.0,100.0,93.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2000,20.3,19.1,99.9,99.9,46.644,100.0,100.0,94.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2001,22.4,22.0,99.9,99.9,47.090,100.0,100.0,100.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
